Liberty 2015 - FIELD GRID DRAFT (with match-ups) - 2015-07-09 11:36:47.700226
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Saturday,,,,,,,,Sunday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Field #9,Field #10,Field #11,Field #12,Field #13,Field #14,Field #15,Field #16,Byes
08:30:00 H,,MD WOLFPACK 2019B (MD),MESA FRESH 2019 (PA),BLAZE U 11 (PA),TEAM HARLEY 2023 (PA),CYLAX TRAVEL B (PA),BYC U11B (PA),VIPER 3 (NY),CYLAX TRAVEL C (PA),,,,,,,,,,Boys U15A-1,,,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,,,,,,,Boys U15A-1
08:30:00 A,,RIDGE FUTURES SILVER (NJ),SONS 2020 (PA),CYLAX HOUSE (PA),BYC U11B (PA),HOUSE LEAGUE ALL STARS (PA),TEAM HARLEY 2023 (PA),SOUTH PARKLAND (PA),HW TURTLES (PA),,,,,,,,,,Boys U15B-1,,,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,,,,,,,Boys U15B-1
09:20:00 H,,,,B - Pool 2 (1st),A - Pool 2 (2nd),A - Pool 1 (1st),,A - Pool 1 (2nd),,,,,,,,,,,Boys U9A-1,,,,,Boys U13A-1,Boys U13A-1,Boys Club 2021/2A-1,,Boys Club 2020A-1,,,,,,,,,,,Boys U9A-1
09:20:00 A,,,,B - Pool 1 (2nd),A - Pool 1 (1st),A - Pool 1 (2nd),,A - Pool 1 (1st),,,,,,,,,,,Boys U9B-1,,,,,Boys U13A-1,Boys U13A-1,Boys Club 2021/2A-1,,Boys Club 2020A-1,,,,,,,,,,,Boys U9B-1
10:10:00 H,,A - Pool 1 (2nd),,,,,A - Pool 1 (1st),B - Pool 1 (2nd),,,,,,,,,,,,,,Boys Club 2019A-1,,,,,Boys U11B-1,Boys U11B-1,,,,,,,,,,,
10:10:00 A,,A - Pool 1 (1st),,,,,A - Pool 2 (2nd),B - Pool 2 (1st),,,,,,,,,,,,,,Boys Club 2019A-1,,,,,Boys U11B-1,Boys U11B-1,,,,,,,,,,,
11:00:00 H,,,,Game B (Loser),Game B (Winner),,,,,,,,,,,,,,,,,,,Boys U13A-1,Boys U13A-1,,,,,,,,,,,,,,
11:00:00 A,,,,Game A (Loser),Game A (Winner),,,,,,,,,,,,,,,,,,,Boys U13A-1,Boys U13A-1,,,,,,,,,,,,,,
11:50:00 H,,,,,,,Game B (Winner),,,,,,,,,,,,,,,,,,,,Boys U11B-1,,,,,,,,,,,,
11:50:00 A,,,,,,,Game A (Winner),,,,,,,,,,,,,,,,,,,,Boys U11B-1,,,,,,,,,,,,

