Liberty 2015 m - FIELD GRID DRAFT (with match-ups) - 2016-02-10 15:42:12.569650
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Saturday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Byes
04:20:00 H,,PA ROUGHRIDERS 2021 SELECT (PA),COUGAR ELITE  BLUE (NJ),UPRISING 2024 (PA),PA ROUGHRIDERS 2023 (PA),UPRISING 2023 (PA),,,,,Boys U13B-1,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,Boys U13B-1
04:20:00 A,,STARS & STRIPES 2022 BLUE (PA),MD WOLFPACK 2021 (MD),FREEDOM LC 2024 (PA),PA ROUGHRIDERS 2024 (PA),DELTA HOUSE (PA),,,,,Boys U13B-2,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,Boys U13B-2
05:10:00 H,,,,,,,,,,,Boys U13B-3,,,,,,,,,,,,Boys U13B-3
05:10:00 A,,,,,,,,,,,Boys U13B-4,,,,,,,,,,,,Boys U13B-4
06:00:00 H,,COUGAR ELITE  BLUE (NJ),STARS & STRIPES 2022 BLUE (PA),PA ROUGHRIDERS 2023 (PA),FREEDOM LC 2024 (PA),UPRISING 2024 (PA),,,,,Boys U15A-1,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,Boys U15A-1
06:00:00 A,,PA ROUGHRIDERS 2021 SELECT (PA),MD WOLFPACK 2021 (MD),UPRISING 2023 (PA),PA ROUGHRIDERS 2024 (PA),DELTA HOUSE (PA),,,,,Boys U15B-1,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,Boys U15B-1
06:50:00 H,,,,,,,,,,,,,,,,,,,,,,,
06:50:00 A,,,,,,,,,,,,,,,,,,,,,,,
07:40:00 H,,MD WOLFPACK 2021 (MD),COUGAR ELITE  BLUE (NJ),DELTA HOUSE (PA),PA ROUGHRIDERS 2024 (PA),UPRISING 2023 (PA),,,,,,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,
07:40:00 A,,PA ROUGHRIDERS 2021 SELECT (PA),STARS & STRIPES 2022 BLUE (PA),PA ROUGHRIDERS 2023 (PA),FREEDOM LC 2024 (PA),UPRISING 2024 (PA),,,,,,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,
