game,date,time,field,bracket,ROUND,team,SCORE
3767821,04/12/2015,12:00 PM,Cedar Hill Park,A3,2,Horsham A,
3767821,04/12/2015,12:00 PM,Cedar Hill Park,A3,2,Spring-Ford A,
3767959,04/12/2015,12:00 PM,Abraham Lincoln High Sch,B3,2,Lansing B,
3767959,04/12/2015,12:00 PM,Abraham Lincoln High Sch,B3,2,Wariors Blue B,
3768595,04/12/2015,12:00 PM,Boyertown,B3,2,Boyertown B,
3768595,04/12/2015,12:00 PM,Boyertown,B3,1,Wissahickon Gold B,
3763159,04/12/2015,12:00 PM,CBAA 2,B1A,2,CBAA B,
3763159,04/12/2015,12:00 PM,CBAA 2,B1A,2,Spring-Ford B,
3768009,04/12/2015,12:00 PM,Twin Oaks Day Camp Field,B3,2,Warriors White B,
3768009,04/12/2015,12:00 PM,Twin Oaks Day Camp Field,B3,2,Lower Bucks Blue B,
3767985,04/12/2015,12:00 PM,Perk Valley Middle Schoo,B3,2,Perkiomen Valley B,
3767985,04/12/2015,12:00 PM,Perk Valley Middle Schoo,B3,2,Upper Moreland B,
3763151,04/12/2015,12:00 PM,Lower Merion - Grass,B1A,2,Ashbee B,
3763151,04/12/2015,12:00 PM,Lower Merion - Grass,B1A,1,Rose Tree B,
3767974,04/12/2015,12:00 PM,Hardy Bush Fields,B3,2,New Hope B,
3767974,04/12/2015,12:00 PM,Hardy Bush Fields,B3,2,Wissahickon Blue B,
3767787,04/12/2015,12:00 PM,William Penn Middle Scho,A2,2,Lower Bucks A,
3767787,04/12/2015,12:00 PM,William Penn Middle Scho,A2,2,Spring-Ford A,
3767779,04/12/2015,12:30 PM,CCLC,A2,2,Crooked Crosse A,
3767779,04/12/2015,12:30 PM,CCLC,A2,2,Phoenixville A,
3769811,04/12/2015,1:00 PM,Haverford,B3,1,Haverford B,
3769811,04/12/2015,1:00 PM,Haverford,B3,1,Radnor White B,
3771219,04/12/2015,1:00 PM,Heuser Field 1,C2,1,Upper Merion C,
3771219,04/12/2015,1:00 PM,Heuser Field 1,C2,1,Haven C,
3769594,04/12/2015,1:00 PM,Encke Field,B2,1,Radnor B,
3769594,04/12/2015,1:00 PM,Encke Field,B2,1,Haverford B,
3771110,04/12/2015,1:00 PM,Rose Tree,C,1,Rose Tree C,
3771110,04/12/2015,1:00 PM,Rose Tree,C,1,Ridley C,
3769814,04/12/2015,1:00 PM,Aston (Pennell Field),B3,1,Aston B,
3769814,04/12/2015,1:00 PM,Aston (Pennell Field),B3,1,Rose Tree B,
3769596,04/12/2015,1:00 PM,Conshohocken,B1,1,Conshohocken B,
3769596,04/12/2015,1:00 PM,Conshohocken,B2,1,Marple Newtown B,
3761638,04/12/2015,1:00 PM,Drexel Hill,A2,1,Drexel Hill A,
3761638,04/12/2015,1:00 PM,Drexel Hill,A2,1,Radnor A,
3761637,04/12/2015,1:00 PM,Interboro,A2,1,Interboro A,
3761637,04/12/2015,1:00 PM,Interboro,A2,1,Rose Tree A,
3768902,04/12/2015,1:00 PM,Haven - King Field Turf,B1,1,Haven B,
3768902,04/12/2015,1:00 PM,Haven - King Field Turf,B1,1,Radnor B,
3750134,04/12/2015,1:00 PM,Radnor Memorial Park,A1A,1,Radnor A,
3750134,04/12/2015,1:00 PM,Radnor Memorial Park,A1A,1,Haverford A,
3769813,04/12/2015,1:00 PM,Episcopal Academy Turf,B3,1,Marple B,
3769813,04/12/2015,1:00 PM,Episcopal Academy Turf,B3,1,Radnor Maroon B,
3767940,04/12/2015,1:30 PM,CBAA 2,B3,2,CBAA B,
3767940,04/12/2015,1:30 PM,CBAA 2,B3,2,Spring-Ford B,
3767924,04/12/2015,1:30 PM,PMYC Clubhouse Field,B2,2,Phoenixville B,
3767924,04/12/2015,1:30 PM,PMYC Clubhouse Field,B2,2,Upper Moreland B,
