GAME,DATE,time,field,bracket,ROUND,team,score
80,,12:00 PM,RMS Lower,Green,2,RUSC Strikers,
81,,12:00 PM,Amosland,,2,Towamencin Thrashers,
81,,12:00 PM,Amosland,,2,Aston Revolution,
82,,12:00 PM,RHS #2,Green,2,RUSC Rockers,
82,,12:00 PM,RHS #2,Green,2,West Deptford Storm,
83,,1:00 PM,Edgewood,Green,2,Haverford Red,
83,,1:00 PM,Edgewood,Green,2,BYC Tigers,
84,,1:00 PM,Mann,Green,2,Haverford Blackout,
84,,1:00 PM,Mann,Green,2,RUSC Rampage,
85,,1:00 PM,Catania Park #1,Green,2,BYC Blue Sharks,
85,,1:00 PM,Catania Park #1,Green,4,BYC Strikers,
86,,1:00 PM,Catania Park #2,Green,2,Towamencin Titans,
86,,1:00 PM,Catania Park #2,Green,2,FC York,
87,,1:00 PM,RHS #1,White,2,GVSC Griffins,
87,,1:00 PM,RHS #1,White,2,HFC United - White,
88,,1:00 PM,Tinicum #3,Green,2,BYC Cobras,
88,,1:00 PM,Tinicum #3,Green,2,Rose Tree Thunder,
89,,1:00 PM,Tinicum #1,Green,2,Springfield Sharks,
89,,1:00 PM,Tinicum #1,Green,2,RUSC Rumble,
90,,1:00 PM,Tinicum #2,Green,2,Haverford Revolution,
90,,1:00 PM,Tinicum #2,Green,2,Amity AC Storm,
91,,1:00 PM,RHS #6,,2,White Clay Lightning,
91,,1:00 PM,RHS #6,,2,Springfield Storm,
92,,1:00 PM,RHS #3,White,2,Blue White '10 SC Panthers,
92,,1:00 PM,RHS #3,White,2,Haverford Red Flash,
93,,1:00 PM,RHS #4,White,2,Lower Merion Fear,
93,,1:00 PM,RHS #4,White,2,RUSC Revolution,
94,,1:00 PM,RMS Upper,Green,2,BYC Blaze,
94,,1:00 PM,RMS Upper,Green,2,Bel Air FC Blaze,
95,,1:00 PM,RHS #5,Green,2,BYC Spartaks,
95,,1:00 PM,RHS #5,Green,2,Aston Fury,
96,,1:00 PM,Interboro JV,White,3,Rose Tree Outlawz,
96,,1:00 PM,Interboro JV,White,3,Interboro Wizards,
97,,1:00 PM,Interboro Varsity,White,3,GVSC Stealth,
97,,1:00 PM,Interboro Varsity,White,3,RUSC Rebels,
98,,1:00 PM,RMS Lower,Green,2,BYC Galaxy,
98,,1:00 PM,RMS Lower,Green,2,Harford FC Lazers United,
99,,1:00 PM,Amosland,,2,Rose Tree Strikers,
99,,1:00 PM,Amosland,,2,RUSC Young Guns,
100,,1:00 PM,RHS #2,Green,2,RUSC Rhinos,
100,,1:00 PM,RHS #2,Green,2,Harleysville Valencia,
101,,2:00 PM,Tinicum #1,White,3,BYC Chaos,
101,,2:00 PM,Tinicum #1,White,5,Interboro Bucs,
102,,2:00 PM,Tinicum #2,White,3,Springfield Warriors,
102,,2:00 PM,Tinicum #2,White,3,Aston United,
103,,2:00 PM,Edgewood,White,3,Montgomery Juventus,
103,,2:00 PM,Edgewood,White,3,MNSA Ambush,
104,,2:00 PM,Mann,White,3,Springfield Shamrocks,
104,,2:00 PM,Mann,White,3,RUSC Rage,
105,,2:00 PM,Catania Park #1,Green,3,Aston Lightning,
105,,2:00 PM,Catania Park #1,Green,3,RUSC Rebels,
106,,2:00 PM,Catania Park #2,Green,3,GVSC Hot Shots,
106,,2:00 PM,Catania Park #2,Green,3,LMSC Liberty,
107,,2:00 PM,RHS #3,White,3,White Clay Firehawks,
107,,2:00 PM,RHS #3,White,3,RUSC Stingers,
108,,2:00 PM,RHS #4,White,3,Haverford Spirit,
108,,2:00 PM,RHS #4,White,3,Rose Tree Fireworks,
109,,2:00 PM,Interboro JV,,3,Aston Storm,
109,,2:00 PM,Interboro JV,,3,BYC Dragons,
110,,2:00 PM,Interboro Varsity,,3,HFC United,
110,,2:00 PM,Interboro Varsity,,3,Lionville Kixx,
111,,2:30 PM,Tinicum #3,Green,1,3rd Place Pool A,
111,,2:30 PM,Tinicum #3,Green,1,3rd Place Pool B,
112,,2:30 PM,RHS #6,,1,3rd Place Pool A,
112,,2:30 PM,RHS #6,,1,3rd Place Pool B,
113,,2:30 PM,RHS #1,White,1,3rd Place Pool A,
113,,2:30 PM,RHS #1,White,1,3rd Place Pool B,
114,,2:30 PM,RMS Upper,Green,2,3rd Place Pool A,
114,,2:30 PM,RMS Upper,Green,2,3rd Place Pool B,
115,,2:30 PM,RHS #2,Green,3,3rd Place Pool A,
115,,2:30 PM,RHS #2,Green,3,3rd Place Pool B,
116,,3:00 PM,Tinicum #1,Green,3,BYC United,
116,,3:00 PM,Tinicum #1,Green,1,RUCS Rams,
117,,3:00 PM,Tinicum #2,Green,3,Springfield Celtic,
117,,3:00 PM,Tinicum #2,Green,3,Haverford Heat Wave,
118,,3:00 PM,Edgewood,White,3,BYC Explosion,
118,,3:00 PM,Edgewood,White,3,RUSC Raiders,
119,,3:00 PM,Mann,White,3,Aston Devils,
119,,3:00 PM,Mann,White,6,Interboro Bucs,
120,,3:00 PM,Catania Park #1,White,3,Springfield Sparks,
120,,3:00 PM,Catania Park #1,White,3,RUSC Revenge,
121,,3:00 PM,Catania Park #2,White,3,MNSA Crush,
121,,3:00 PM,Catania Park #2,White,1,Haverford Wildcats,
