Club ID,Date,Start,Finish,Team,Facility,Type,Opponent,Note,N/A,For,Against,DB ID,Ofcl,Write Up
,04/12/2015,2:45 PM,4:15 PM,Interboro B1,Interboro,Game,Ridley B1,,,,,3768901,,
,04/12/2015,2:45 PM,4:00 PM,Drexel Hill C2,Drexel Hill,Game,Conshohocken C2,,,,,3771220,,
2013001563,04/12/2015,3:00 PM,4:30 PM,CBAA A3,CBAA 1,Game,Lower Bucks Blue A3,,,,,3768092,,
2013001634,04/12/2015,3:00 PM,4:30 PM,Deep Run B1,Deep Run,Game,North Penn B1,,,,,3768163,,
2013001201,04/12/2015,3:00 PM,4:30 PM,Council Rock Blue A2,Newtown Elementary,Game,Souderton White A2,,,,,3767770,,
,04/12/2015,3:00 PM,4:30 PM,Ridley A1,Ridley Municipal Park,Game,Lower Bucks A1,,,,,3760515,,
2013001855,04/12/2015,3:00 PM,4:30 PM,Boyertown B2,Boyertown,Game,Wissahickon B2,,,,,3768607,,
2013001422,04/12/2015,3:00 PM,4:30 PM,Lower Bucks White B3,William Penn Middle Scho,Game,Horsham B3,,,,,3767970,,
,04/12/2015,3:30 PM,4:45 PM,Springfield C2,Springfield - Church Rd,Game,Ridley C2 Green,,,,,3771221,,
,04/12/2015,4:30 PM,5:45 PM,Haverford C,Haverford,Game,Haven C,,,,,3771111,,
,04/12/2015,4:30 PM,6:00 PM,Ridley A3,Ridley Municipal Park,Game,Springfield A3,,,,,3761665,,
2013001205,04/12/2015,4:30 PM,6:00 PM,Council Rock White A2,Newtown Elementary,Game,Souderton Red A2,,,,,3767774,,
2013001358,04/12/2015,4:30 PM,6:00 PM,Deep Run B2,Deep Run,Game,Souderton B2,,,,,3767915,,
,04/12/2015,4:30 PM,5:45 PM,Interboro Black C,Interboro,Game,Ashbee C,,,,,3771108,,
2013001843,04/12/2015,4:30 PM,6:00 PM,Boyertown A2,Boyertown,Game,Warriors A2,,,,,3768594,,
,04/18/2015,10:00 AM,11:30 AM,Aston A2,Aston (Pennell Field),Game,Interboro A2,,,,,3761639,,
,04/18/2015,10:00 AM,11:30 AM,Conshohocken A1,Conshohocken,Game,Warriors A1,,,,,3760520,,
,04/18/2015,10:00 AM,11:30 AM,Rose Tree A2,Rose Tree,Game,Drexel Hill A2,,,,,3761641,,
,04/18/2015,10:00 AM,11:30 AM,Ridley A1,Ridley Municipal Park,Game,Haven A1,,,,,3760521,,
,04/18/2015,10:00 AM,11:30 AM,UpperMerion A2,Heuser Field 1,Game,StJoes A2,,,,,3761640,,
,04/18/2015,10:00 AM,11:30 AM,Marple A1,Gauntlett Center,Game,Lower Bucks A1,,,,,3760518,,
2013001301,04/18/2015,10:00 AM,11:30 AM,Warriors A3,Twin Oaks Day Camp Field,Game,Upper Moreland A3,,,,,3767862,,
2013001291,04/18/2015,10:30 AM,12:00 PM,Spring-Ford A3,Brooke Elementary School,Game,Council Rock  A3,,,,,3767852,,
2013001271,04/18/2015,10:30 AM,12:00 PM,Lower Bucks Blue A3,William Penn Middle Scho,Game,North Penn A3,,,,,3767832,,
2013001119,04/18/2015,10:30 AM,12:00 PM,Springfield A1A,Springfield - Sabold,Game,Moorestown A1A,,,,,3750143,,
2013001382,04/18/2015,10:30 AM,12:00 PM,Wissahickon B2,Wissahickon,Game,Phoenixville B2,,,,,3767935,,
2013001845,04/18/2015,10:30 AM,12:00 PM,Boyertown A1,Boyertown,Game,Horsham A1,,,,,3768596,,
2013001126,04/18/2015,10:30 AM,1:00 PM,Boyertown B1A,Boyertown,Game,Spring-Ford B1A,,,,,3763155,,
2013001261,04/18/2015,10:30 AM,12:00 PM,Horsham A3,Cedar Hill Park,Game,Lansing A3,,,,,3767822,,
2013001145,04/18/2015,10:30 AM,12:00 PM,Perkiomen Valley B1A,Perk Valley MS west,Game,Wissahickon B1A,,,,,3763174,,
2013001180,04/18/2015,10:30 AM,12:00 PM,Deep Run A1,Deep Run,Game,Spartan A1,,,,,3767753,,
2013001100,04/18/2015,10:30 AM,12:00 PM,CBAA  A1A,CBAA 1,Game,Radnor A1A,,,,,3750124,,
2013001457,04/18/2015,10:30 AM,12:00 PM,Upper Moreland B3,Nathaniel Boileau Park,Game,CBAA B3,,,,,3768000,,
2013001397,04/18/2015,10:30 AM,12:00 PM,Council Rock B3,Newtown Elementary,Game,Souderton B3,,,,,3767945,,
2013001339,04/18/2015,11:00 AM,12:30 PM,Spartan B1,Spartan,Game,Lower Bucks B1,,,,,3767900,,
2013001427,04/18/2015,11:00 AM,12:30 PM,New Hope B3,Hardy Bush Fields,Game,Perkiomen Valley B3,,,,,3767975,,
2013001137,04/18/2015,11:00 AM,12:30 PM,Haverford B1A,Haverford High School,Game,Rose Tree B1A,,,,,3763166,,
,04/18/2015,11:45 AM,1:15 PM,Ridley A3,Ridley Municipal Park,Game,Radnor White A3,,,,,3761669,,
2013001412,04/18/2015,12:00 PM,1:30 PM,Lansing B3,Abraham Lincoln High Sch,Game,Wissahickon Gold B3,,,,,3767960,,
2013001225,04/18/2015,12:00 PM,1:30 PM,Phoenixville A2,PMYC Clubhouse Field,Game,Souderton White A2,,,,,3767794,,
2013001846,04/18/2015,12:00 PM,1:30 PM,Boyertown A2,Boyertown,Game,Council Rock White A2,,,,,3768597,,
2013001808,04/18/2015,12:00 PM,1:30 PM,CBAA A1,CBAA 1,Game,Perkiomen Valley A1,,,,,3770125,,
2013001323,04/18/2015,12:00 PM,1:30 PM,Deep Run B1,Deep Run,Game,Council Rock B1,,,,,3767884,,
2013001211,04/18/2015,12:00 PM,1:30 PM,Crooked Crosse A2,CCLC,Game,Souderton Red A2,,,,,3767780,,
2013001375,04/18/2015,12:00 PM,1:30 PM,Upper Moreland B2,Nathaniel Boileau Park,Game,CBAA B2,,,,,3767928,,
2013001219,04/18/2015,12:00 PM,1:30 PM,Lower Bucks A2,William Penn Middle Scho,Game,North Penn A2,,,,,3767788,,
,04/18/2015,12:00 PM,1:30 PM,Ashbee A1,Shipley Farms 1,Game,Wissahickon A1,,,,,3760519,,
2013001286,04/18/2015,12:00 PM,1:30 PM,Perkiomen Valley A3,Perk Valley Middle Schoo,Game,Lower Bucks White A3,,,,,3767847,,
2013001238,04/18/2015,12:00 PM,1:30 PM,Spring-Ford A2,Brooke Elementary School,Game,Council Rock Blue A2,,,,,3767799,,
,04/18/2015,12:15 PM,1:45 PM,Springfield A3,Springfield - Sabold,Game,Radnor Maroon A3,,,,,3761668,,
2013001447,04/18/2015,12:30 PM,2:00 PM,Spartan B3,Spartan,Game,Lower Bucks Blue B3,,,,,3767990,,
2013001094,04/18/2015,12:30 PM,2:00 PM,Haverford A1A,Haverford High School,Game,Council Rock A1A,,,,,3750118,,
2013001241,04/18/2015,1:00 PM,2:30 PM,Warriors A2,Twin Oaks Day Camp Field,Game,Deep Run A2,,,,,3767802,,
