Date,Start,Finish,Team,Facility,Type,Opponent,DB ID
5/17/15,3:30 PM,4:45 PM,Girls U11 A>Nashua ,Stellos Stadium,Game,Girls U11 A>Londonderry U11 Girls,5183213
5/17/15,3:30 PM,4:45 PM,Boys U13 C>Hampton Lacrosse - Warriors,North Hampton School,Game,Boys U13 C>Merrimack Valley Blue Storm,5211081
5/17/15,3:30 PM,4:45 PM,Girls U11 B>MPAL U11 Blue,Memorial HS,Game,Girls U11 B>Goffstown,5183158
5/17/15,4:45 PM,6:00 PM,Girls U9 B>MPAL U9 White,Memorial HS,Game,Girls U9 B>JSG U9G,5187810
5/17/15,4:45 PM,6:00 PM,Girls U13 B>Nashua - White,Stellos Stadium,Game,Girls U13 B>CONVAL LYNX,5183038
5/27/15,6:00 PM,7:15 PM,Boys U13 A>Hooksett,Donati Field,Game,Boys U13 A>Concord Crush Orange,5187243
5/31/15,2:00 AM,3:15 AM,Girls U15 B>Hanover,Sachem Field,Game,Girls U15 B>Nashua,5182916
5/31/15,8:00 AM,9:15 AM,Girls U13 B>Windham U13 Virginia,Nashua Road,Game,Girls U13 B>Hopkinton U13 Girls,5183050
5/31/15,8:00 AM,9:15 AM,Boys U9 A>Amherst U9A - Gold,Middle Bean,Game,Boys U9 A>Amherst U9A - Black,5187873
5/31/15,8:00 AM,9:15 AM,Boys U15 A>Merrimack Valley Blue Storm,Boscawen Elementary ,Game,Boys U15 A>Derry U15A,5182184
5/31/15,8:00 AM,9:15 AM,Boys U9 B>Hopkinton U9 boys,Houston Field #1,Game,Boys U9 B>MYL Boys U9B Junior Tomahawks 1,5208246
5/31/15,8:00 AM,9:15 AM,Boys U13 B2>Exeter,Sawyer Field,Game,Boys U13 B2>MYL Boys U13B Junior Tomahawks,5194155
5/31/15,8:00 AM,9:15 AM,Girls U13 B>Amherst U13B - Black,Lower Bean,Game,Girls U13 B>Abenaki-Wolfeboro,5183051
5/31/15,8:00 AM,9:15 AM,Boys U9 B>MPAL U9 White,Memorial HS,Game,Boys U9 B>Hudson Hawks Maroon,5208244
5/31/15,8:00 AM,9:15 AM,Boys U11 B1>JSG U11B,Bolton Field,Game,Boys U11 B1>Lakes Region Lacrosse Club,5187437
5/31/15,8:00 AM,9:15 AM,Girls U15 B>Hopkinton U15 Girls,Houston Field #3,Game,Girls U15 B>Londonderry Girls U15,5182921
5/31/15,8:00 AM,9:15 AM,Boys U13 B2>Laconia Sachems,Laconia HS,Game,Boys U13 B2>Londonderry Boys U13 Ravens,5194151
5/31/15,8:00 AM,9:15 AM,Boys U15 B>Concord Crush Orange,Memorial Field,Game,Boys U15 B>Rattlers U15B,5200306
5/31/15,8:00 AM,9:15 AM,Boys U15 B>Derry U15B,Humphrey Field,Game,Boys U15 B>Peterborough,5200308
5/31/15,8:00 AM,9:15 AM,Girls U15 B>Plymouth Youth Lacrosse,Bridge Road,Game,Girls U15 B>Laconia Sachems,5182917
5/31/15,8:00 AM,9:15 AM,Girls U15 A>Concord Crush Orange,Martin Field,Game,Girls U15 A>Windham U15 Cornell,5182968
5/31/15,8:30 AM,9:45 AM,Boys U11 B1>Salem Snipers,Salem HS,Game,Boys U11 B1>Keene Crush Orange,5187441
5/31/15,9:00 AM,10:15 AM,Boys U11 C>Hampstead,Depot Road Field,Game,Boys U11 C>Litchfield U11,5200936
5/31/15,9:00 AM,10:15 AM,Boys U11 A>Cocheco,Bellamy 3,Game,Boys U11 A>Seacoast,5182677
5/31/15,9:00 AM,10:15 AM,Boys U9 B>Hampstead Red,Phanzone,Game,Boys U9 B>Pelham Outlaws,5208247
5/31/15,9:00 AM,10:15 AM,Girls U9 B>Derry,E. Derry Memorial School,Game,Girls U9 B>Nashua - Purple,5187813
5/31/15,9:00 AM,10:15 AM,Girls U13 B>Black Bear,Coe-Brown Lower,Game,Girls U13 B>Plymouth Youth Lacrosse,5183055
5/31/15,9:00 AM,10:15 AM,Boys U15 B>Bow,Gosling Field,Game,Boys U15 B>Black Bear,5200304
5/31/15,9:15 AM,10:30 AM,Boys U9 B>Laconia Sachems,Laconia HS,Game,Boys U9 B>Londonderry Boys U9 Jaguars,5208253
5/31/15,9:15 AM,10:30 AM,Girls U13 A>Windham U13 Duke,Nashua Road,Game,Girls U13 A>Lakes Region Lacrosse Club,5183103
5/31/15,9:15 AM,10:30 AM,Girls U9 B>Hopkinton U9 Girls,Houston Field #1,Game,Girls U9 B>MPAL U9 White,5187820
5/31/15,9:15 AM,10:30 AM,Boys U11 B2>Londonderry Boys U11 Huskies,West Road Field #1,Game,Boys U11 B2>MPAL U11 White,5200996
5/31/15,9:15 AM,10:30 AM,Boys U9 A>JSG U9 Boys,Bolton Field,Game,Boys U9 A>MPAL U9 Blue,5187868
5/31/15,9:15 AM,10:30 AM,Girls U13 B>Concord Crush Orange,Martin Field,Game,Girls U13 B>Nashua - White,5183049
5/31/15,9:15 AM,10:30 AM,Boys U13 A>Derry U13A,Humphrey Field,Game,Boys U13 A>Pelham Outlaws,5187282
5/31/15,9:15 AM,10:30 AM,Boys U13 C>Concord Crush White,Memorial Field,Game,Boys U13 C>Pelham Outlaws,5211098
5/31/15,9:15 AM,10:30 AM,Girls U9 B>Amherst U9B - Gold,Middle Bean,Game,Girls U9 B>Amherst U9B - Black,5187815
5/31/15,9:15 AM,10:30 AM,Girls U11 B>Bedford,Bedford-Joppa Hill Field,Game,Girls U11 B>Amherst U11B - Black,5183168
5/31/15,9:15 AM,10:30 AM,Boys U9 A>Windham U9 Cornell,Searles School,Game,Boys U9 A>Milford U9A - Blue,5187872
5/31/15,9:15 AM,10:30 AM,Boys U13 B2>Windham U13B ,Griffin Park,Game,Boys U13 B2>Litchfield U13,5194156
5/31/15,9:15 AM,10:30 AM,Girls U11 B>Hopkinton U11 Girls,Houston Field #3,Game,Girls U11 B>Keene Crush,5183169
5/31/15,9:15 AM,10:30 AM,Boys U9 B>MPAL U9,Memorial HS,Game,Boys U9 B>Hudson Hawks White,5208257
5/31/15,9:30 AM,10:45 AM,Boys U13 B1>Exeter,Sawyer Field,Game,Boys U13 B1>Salem Snipers,5200215
5/31/15,9:45 AM,11:00 AM,Boys U15 A>Salem Snipers,Salem HS,Game,Boys U15 A>Cocheco,5182185
5/31/15,10:00 AM,11:15 AM,Girls U9 B>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Girls U9 B>Londonderry U9 Cobras,5187816
5/31/15,10:00 AM,11:15 AM,Girls U15 B>Cocheco,Dover Fisk Field,Game,Girls U15 B>Abenaki-Wolfeboro,5182918
5/31/15,10:00 AM,11:15 AM,Boys U9 B>Hooksett,Donati Field,Game,Boys U9 B>MYL Boys U9B Junior Tomahawks 2,5200307
5/31/15,10:15 AM,11:30 AM,Boys U13 B1>Hampstead,Depot Road Field,Game,Boys U13 B1>Rattlers U13B1,5200217
5/31/15,10:15 AM,11:30 AM,Boys U13 C>Cocheco,Bellamy 3,Game,Boys U13 C>Rattlers U13C,5211096
5/31/15,10:15 AM,11:30 AM,Boys U9 B>Keene Crush,Keene HS,Game,Boys U9 B>Merrimack Valley Blue Storm,5208255
5/31/15,10:15 AM,11:30 AM,Boys U9 B>Hampstead White,Phanzone,Game,Boys U9 B>Nashua - White,5208249
5/31/15,10:15 AM,11:30 AM,Girls U11 B>Derry,E. Derry Memorial School,Game,Girls U11 B>MPAL U11 Blue,5183174
5/31/15,10:15 AM,11:30 AM,Boys U9 B>Black Bear,Coe-Brown Lower,Game,Boys U9 B>Windham U9 Navy,5208252
5/31/15,10:30 AM,11:45 AM,Girls U15 B>JSG U15G,Bolton Field,Game,Girls U15 B>Lakes Region Lacrosse Club,5182919
5/31/15,10:30 AM,11:45 AM,Girls U11 B>Windham U11 Syracuse,Nashua Road,Game,Girls U11 B>JSG U11G,5183167
5/31/15,10:30 AM,11:45 AM,Girls U9 B>Windham U9 Yale,Searles School,Game,Girls U9 B>Londonderry Girls U9 Vipers,5187814
5/31/15,10:30 AM,11:45 AM,Boys U11 A>Windham U11A,Griffin Park,Game,Boys U11 A>Hampstead,5182679
5/31/15,10:30 AM,11:45 AM,Boys U13 C>Derry U13C,Humphrey Field,Game,Boys U13 C>Nashua - Black,5211097
5/31/15,10:30 AM,11:45 AM,Girls U13 A>Bedford,Bedford-Joppa Hill Field,Game,Girls U13 A>Amherst U13A - Gold,5183104
5/31/15,10:30 AM,11:45 AM,Boys U13 A>Concord Crush Orange,Memorial Field,Game,Boys U13 A>Seacoast,5187280
5/31/15,10:30 AM,11:45 AM,Boys U11 B1>Hollis Brookline,Nichols Field,Game,Boys U11 B1>ORYA White,5187440
5/31/15,10:30 AM,11:45 AM,Boys U15 C>MPAL U15 Blue,Memorial HS,Game,Boys U15 C>Hudson Hawks White,5200359
5/31/15,10:30 AM,11:45 AM,Boys U11 B2>Laconia Sachems,Laconia HS,Game,Boys U11 B2>MYL Boys U11B Junior Tomahawks,5200998
5/31/15,10:30 AM,11:45 AM,Boys U13 B2>Bow,Gosling Field,Game,Boys U13 B2>Abenaki-Wolfeboro,5194150
5/31/15,10:30 AM,11:45 AM,Girls U11 B>Concord Crush Black,Martin Field,Game,Girls U11 B>MYL Girls U11B Junior Tomahawks,5183172
5/31/15,11:00 AM,12:15 PM,Boys U15 B>Goffstown,Laurier St Field,Game,Boys U15 B>ORYA Red,5200301
5/31/15,11:00 AM,12:15 PM,Boys U15 B>Exeter,Sawyer Field,Game,Boys U15 B>Pelham Outlaws,5200310
5/31/15,11:15 AM,12:30 PM,Girls U13 B>Cocheco,Dover Fisk Field,Game,Girls U13 B>ORYA White,5183047
5/31/15,11:15 AM,12:30 PM,Boys U15 B>Seacoast,Portsmouth High,Game,Boys U15 B>Hudson Hawks Maroon,5200303
5/31/15,11:15 AM,12:30 PM,Boys U15 C>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Boys U15 C>Londonderry Boys U15 Wolves,5200362
5/31/15,11:15 AM,12:30 PM,Boys U11 B2>Hooksett,Donati Field,Game,Boys U11 B2>Peterborough,5187279
5/31/15,11:30 AM,12:45 PM,Girls U13 B>Derry,E. Derry Memorial School,Game,Girls U13 B>MPAL U13,5183046
5/31/15,11:30 AM,12:45 PM,Boys U13 C>Black Bear,Coe-Brown Lower,Game,Boys U13 C>Salem,5211094
5/31/15,11:30 AM,12:45 PM,Girls U9 B>Hampstead,Phanzone,Game,Girls U9 B>MYL Girls U9B Junior Tomahawks,5187812
5/31/15,11:30 AM,12:45 PM,Boys U13 B1>Cocheco,Bellamy 3,Game,Boys U13 B1>Seacoast,5200213
5/31/15,11:45 AM,1:00 PM,Girls U11 A>Concord Crush Orange,Martin Field,Game,Girls U11 A>Amherst U11A - Gold,5183217
5/31/15,11:45 AM,1:00 PM,Girls U13 B>Bedford,Bedford-Joppa Hill Field,Game,Girls U13 B>Seacoast,5183053
5/31/15,11:45 AM,1:00 PM,Boys U11 B1>Derry U11B1,Humphrey Field,Game,Boys U11 B1>Bow,5187442
5/31/15,11:45 AM,1:00 PM,Girls U9 B>JSG U9G,Bolton Field,Game,Girls U9 B>MPAL U9 Blue,5187818
5/31/15,11:45 AM,1:00 PM,Boys U13 B2>Concord Crush Black,Memorial Field,Game,Boys U13 B2>Peterborough,5194154
5/31/15,11:45 AM,1:00 PM,Boys U15 B>Hollis Brookline,Nichols Field,Game,Boys U15 B>Laconia Sachems,5200309
5/31/15,11:45 AM,1:00 PM,Boys U9 B>Bow,Gosling Field,Game,Boys U9 B>Salem Snipers,5208254
5/31/15,11:45 AM,1:00 PM,Girls U11 A>Windham U11 Hopkins,Nashua Road,Game,Girls U11 A>Londonderry U11 Girls,5183216
5/31/15,11:45 AM,1:00 PM,Boys U15 A>Windham U15,Griffin Park,Game,Boys U15 A>Hampstead,5182182
5/31/15,12:00 PM,1:15 PM,Girls U11 B>Goffstown,Barnard park,Game,Girls U11 B>Merrimack Valley Blue Storm,5183166
5/31/15,12:00 PM,1:15 PM,Boys U9 B>Antrim U9 Boys,Shea Field,Game,Boys U9 B>Abenaki-Wolfeboro,5208250
5/31/15,12:15 PM,1:30 PM,Boys U13 C>Goffstown,Laurier St Field,Game,Boys U13 C>Hudson Hawks,5211093
5/31/15,12:30 PM,1:45 PM,Boys U13 C>Exeter,Sawyer Field,Game,Boys U13 C>Merrimack Valley Blue Storm,5211095
5/31/15,12:30 PM,1:45 PM,Girls U15 A>Exeter,Linden Street,Game,Girls U15 A>ORYA Red,5182967
5/31/15,12:30 PM,1:45 PM,Boys U9 B>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Boys U9 B>Londonderry Boys U9 Cougars,5208251
5/31/15,12:30 PM,1:45 PM,Girls U13 B>Hampton Lacrosse - Blue,Winnacunnet High School ,Game,Girls U13 B>JSG U13G,5183052
5/31/15,12:30 PM,1:45 PM,Boys U13 B2>Hooksett,Donati Field,Game,Boys U13 B2>MPAL U13 Blue,5194153
5/31/15,12:45 PM,2:00 PM,Boys U15 C>Cocheco,Bellamy 3,Game,Boys U15 C>Plymouth Youth Lacrosse,5200358
5/31/15,12:45 PM,2:00 PM,Girls U15 A>Derry,E. Derry Memorial School,Game,Girls U15 A>Seacoast,5182965
5/31/15,12:45 PM,2:00 PM,Girls U11 A>Hampstead,Depot Road Field,Game,Girls U11 A>Seacoast - Roelofs,5183215
5/31/15,1:00 PM,2:15 PM,Girls U15 A>Bedford,Bedford-Joppa Hill Field,Game,Girls U15 A>Amherst U15A - Gold,5182966
5/31/15,1:00 PM,2:15 PM,Boys U11 A>Bedford,Bedford HS,Game,Boys U11 A>Amherst U11A - Gold,5182680
5/31/15,1:00 PM,2:15 PM,Girls U9 B>Concord Crush Black,Martin Field,Game,Girls U9 B>Pelham Lady Outlaws,5187819
5/31/15,1:00 PM,2:15 PM,Boys U11 B1>Hampton Lacrosse - Hounds,North Hampton School,Game,Boys U11 B1>Pelham Outlaws,5187438
5/31/15,1:00 PM,2:15 PM,Boys U9 B>Derry U9B - Red,Humphrey Field,Game,Boys U9 B>Rattlers U9 Maroon,5208243
5/31/15,1:00 PM,2:15 PM,Boys U15 C>Hanover,Sachem Field,Game,Boys U15 C>MYL Boys U15B Junior Tomahawks,5200360
5/31/15,1:00 PM,2:15 PM,Boys U13 A>Windham U13A,Griffin Park,Game,Boys U13 A>Londonderry Boys U13 Falcons,5187283
5/31/15,1:00 PM,2:15 PM,Boys U11 B1>Hopkinton U11 Boys,Houston Fields #4,Game,Boys U11 B1>Londonderry Boys U11 Lynx,5187439
5/31/15,1:00 PM,2:15 PM,Boys U13 B1>JSG U13B,Bolton Field,Game,Boys U13 B1>Lakes Region Lacrosse Club,5200212
5/31/15,1:00 PM,2:15 PM,Boys U11 C>Concord Crush White,Memorial Field,Game,Boys U11 C>Windham U11C,5200935
5/31/15,1:00 PM,2:15 PM,Girls U11 B>Hollis Brookline,Hollis Middle,Game,Girls U11 B>Laconia Sachems,5183171
5/31/15,1:15 PM,2:30 PM,Girls U15 B>Goffstown,Barnard park,Game,Girls U15 B>Peterborough,5182920
5/31/15,1:15 PM,2:30 PM,Boys U13 B1>Hollis Brookline,Nichols Field,Game,Boys U13 B1>Nashua - Purple,5200216
5/31/15,1:30 PM,3:00 PM,Girls U13 B>CONVAL LYNX,Shea Field,Game,Girls U13 B>Abenaki-Wolfeboro,5182978
5/31/15,1:30 PM,2:45 PM,Boys U13 A>Goffstown,Laurier St Field,Game,Boys U13 A>ORYA Red,5187281
5/31/15,1:45 PM,3:00 PM,Boys U13 A>Hooksett,Donati Field,Game,Boys U13 A>Nashua - White,5201000
5/31/15,1:45 PM,3:00 PM,Girls U11 B>Hampton Lacrosse - Green,Winnacunnet High School ,Game,Girls U11 B>Lakes Region Lacrosse Club,5183173
5/31/15,2:00 PM,3:15 PM,Girls U13 A>Exeter,Linden Street,Game,Girls U13 A>Seacoast,5183101
5/31/15,2:00 PM,3:15 PM,Girls U13 A>Hampstead,Depot Road Field,Game,Girls U13 A>Nashua - Purple,5183102
5/31/15,2:00 PM,3:15 PM,Boys U13 B2>Cocheco,Bellamy 3,Game,Boys U13 B2>Plymouth Youth Lacrosse,5194152
5/31/15,2:00 PM,3:15 PM,Boys U11 C>Exeter - White,Sawyer Field,Game,Boys U11 C>MPAL U11 Blue,5200938
5/31/15,2:15 PM,3:30 PM,Girls U9 B>Bow,Gosling Field,Game,Girls U9 B>Windham U9 Harvard,5187817
5/31/15,2:15 PM,3:30 PM,Boys U13 B1>Hopkinton U13 Boys,Houston Fields #4,Game,Boys U13 B1>Londonderry Boys U13 Hawks,5200214
5/31/15,2:15 PM,3:30 PM,Boys U9 A>Bedford,Bedford-Joppa Hill Field,Game,Boys U9 A>Rattlers U9 Black,5187869
5/31/15,2:15 PM,3:30 PM,Boys U11 C>Hampton Lacrosse - White,North Hampton School,Game,Boys U11 C>Hudson Hawks White,5200934
5/31/15,2:15 PM,3:30 PM,Boys U9 A>Derry U9A,Humphrey Field,Game,Boys U9 A>Nashua - Purple,5187870
5/31/15,2:15 PM,3:30 PM,Boys U11 B2>Concord Crush Black,Memorial Field,Game,Boys U11 B2>Seacoast,5200997
5/31/15,2:15 PM,3:30 PM,Boys U11 B2>Bedford,Bedford HS,Game,Boys U11 B2>Amherst U11B - Black,5200995
5/31/15,2:15 PM,3:30 PM,Girls U9 B>Concord Crush Orange,Martin Field,Game,Girls U9 B>Nashua - White,5187821
5/31/15,2:15 PM,3:30 PM,Girls U11 A>Hollis Brookline,Hollis Middle,Game,Girls U11 A>Nashua ,5183218
5/31/15,2:30 PM,3:45 PM,Girls U13 B>Goffstown,Barnard park,Game,Girls U13 B>Keene Crush,5183054
5/31/15,2:30 PM,3:45 PM,Boys U15 B>Hanover,Sachem Field,Game,Boys U15 B>Londonderry Boys U15 Warriors,5200300
5/31/15,2:45 PM,4:00 PM,Boys U11 B2>Goffstown Hansen,Laurier St Field,Game,Boys U11 B2>Rattlers U11 Maroon,5200999
5/31/15,3:00 PM,4:15 PM,Boys U15 B>Hooksett,Donati Field,Game,Boys U15 B>Keene Crush,5208248
5/31/15,3:00 PM,4:15 PM,Girls U15 B>Hampton Lacrosse -White,Winnacunnet High School ,Game,Girls U15 B>ORYA White,5182924
5/31/15,3:15 PM,4:30 PM,Boys U11 C>Cocheco,Bellamy 3,Game,Boys U11 C>Black Bear,5200933
5/31/15,3:30 PM,4:45 PM,Boys U15 B>Hopkinton U15 Boys,Houston Fields #4,Game,Boys U15 B>JSG U15B,5200305
5/31/15,3:30 PM,4:45 PM,Girls U13 A>Hollis Brookline,Hollis Middle,Game,Girls U13 A>Londonderry Girls U13,5183105
5/31/15,3:30 PM,4:45 PM,Boys U15 C>Bedford,Bedford-Joppa Hill Field,Game,Boys U15 C>Abenaki-Wolfeboro,5200361
5/31/15,3:30 PM,4:45 PM,Boys U11 C>Derry U11C,Humphrey Field,Game,Boys U11 C>Rattlers U11 White,5200937
5/31/15,3:30 PM,4:45 PM,Girls U13 B>Exeter,Linden Street,Game,Girls U13 B>Merrimack Valley Blue Storm,5183056
5/31/15,3:30 PM,4:45 PM,Boys U11 A>Concord Crush Orange,Memorial Field,Game,Boys U11 A>Nashua - Purple,5182678
5/31/15,3:30 PM,4:45 PM,Boys U11 C>Exeter - Grey,Sawyer Field,Game,Boys U11 C>Nashua - White,5200939
5/31/15,3:30 PM,4:45 PM,Boys U15 B>Hampton Lacrosse - Hounds ,North Hampton School,Game,Boys U15 B>Nashua,5200302
5/31/15,3:30 PM,4:45 PM,Girls U11 B>Bow,Gosling Field,Game,Girls U11 B>Pelham Lady Outlaws,5183170
5/31/15,3:30 PM,4:45 PM,Girls U15 B>Hampstead,Depot Road Field,Game,Girls U15 B>Pelham Lady Outlaws,5182922
5/31/15,3:30 PM,4:45 PM,Boys U13 A>Bedford,Bedford HS,Game,Boys U13 A>Amherst U13A - Gold,5187284
5/31/15,4:00 PM,5:15 PM,Boys U11 B2>Goffstown Maroon,Laurier St Field,Game,Boys U11 B2>Plymouth Youth Lacrosse,5201001
5/31/15,4:00 PM,5:15 PM,Girls U13 B>CONVAL LYNX,Shea Field,Game,Girls U13 B>MYL Girls U13B Junior Tomahawks,5183048
5/31/15,4:45 PM,6:00 PM,Boys U9 B>Concord Crush Black,Memorial Field,Game,Boys U9 B>Rattlers U9 White,5208256
5/31/15,4:45 PM,6:00 PM,Boys U9 B>Derry U9B - White,Humphrey Field,Game,Boys U9 B>Peterborough,5208245
5/31/15,4:45 PM,6:00 PM,Boys U13 B1>Bedford,Bedford HS,Game,Boys U13 B1>Amherst U13B - Black,5200211
5/31/15,4:45 PM,6:00 PM,Boys U15 A>Bedford,Bedford-Joppa Hill Field,Game,Boys U15 A>Amherst U15A - Gold,5182183
5/31/15,4:45 PM,6:00 PM,Girls U15 B>Hollis Brookline,Hollis Middle,Game,Girls U15 B>MYL Girls U15B Junior Tomahawks,5182923
5/31/15,5:00 PM,6:15 PM,Girls U11 A>Exeter,Linden Street,Game,Girls U11 A>Seacoast - Smith,5183214
5/31/15,5:00 PM,6:15 PM,Girls U13 B>Bow,Gosling Field,Game,Girls U13 B>Pelham Lady Outlaws,5183057
5/31/15,5:00 PM,6:15 PM,Boys U11 A>Exeter - Blue,Sawyer Field,Game,Boys U11 A>Londonderry Boys U11 Razors,5182681
5/31/15,6:00 PM,7:15 PM,Boys U9 A>Concord Crush Orange,Memorial Field,Game,Boys U9 A>Pelham Outlaws,5187871
5/31/15,6:00 PM,7:15 PM,Boys U13 C>Bedford,Bedford HS,Game,Boys U13 C>Amherst U13C - White,5211092
6/6/15,8:00 AM,9:15 AM,Boys U9 B>Merrimack Valley Blue Storm,Boscawen Elementary ,Game,Boys U9 B>Laconia Sachems,5208240
6/6/15,8:00 AM,9:15 AM,Boys U11 B2>Peterborough,ConVal HS JV Field,Game,Boys U11 B2>Laconia Sachems,5200993
6/6/15,8:00 AM,9:15 AM,Boys U13 B1>ORYA White,little river park,Game,Boys U13 B1>Hollis Brookline,5200210
6/6/15,8:00 AM,9:15 AM,Boys U15 C>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Boys U15 C>MPAL U15 Blue,5200354
6/6/15,8:00 AM,9:15 AM,Boys U9 B>Londonderry Boys U9 Jaguars,Lincoln Field,Game,Boys U9 B>Lakes Region Lacrosse Club,5208238
6/6/15,8:00 AM,9:15 AM,Girls U15 A>Windham U15 Cornell,Nashua Road,Game,Girls U15 A>Derry,5182962
6/6/15,8:00 AM,9:15 AM,Boys U9 B>Peterborough,Dublin School,Game,Boys U9 B>Hampstead Red,5208232
6/6/15,8:00 AM,9:15 AM,Boys U15 C>Abenaki-Wolfeboro,The Nick,Game,Boys U15 C>Cocheco,5200353
6/6/15,8:00 AM,9:15 AM,Boys U15 C>MYL Boys U15B Junior Tomahawks,Reeds 4,Game,Boys U15 C>Hudson Hawks White,5200356
6/6/15,8:00 AM,9:15 AM,Boys U9 B>Londonderry Boys U9 Cougars,Lincoln Field,Game,Boys U9 B>Litchfield U9,5208236
6/6/15,8:00 AM,9:15 AM,Boys U11 C>Litchfield U11,LLA - Sawmill Brook,Game,Boys U11 C>Hampton Lacrosse - White,5200929
6/6/15,8:00 AM,9:15 AM,Boys U13 B1>Rattlers U13B1,East Road Fields,Game,Boys U13 B1>Hampton Lacrosse - Rip Tide,5200203
6/6/15,8:00 AM,9:15 AM,Boys U11 C>Windham U11C,Griffin Park,Game,Boys U11 C>Derry U11C,5200930
6/6/15,8:00 AM,9:15 AM,Boys U9 B>Windham U9 Navy,Searles School,Game,Boys U9 B>Bow,5208239
6/6/15,8:00 AM,9:15 AM,Girls U15 A>Amherst U15A - Gold,Lower Bean,Game,Girls U15 A>Concord Crush Orange,5182964
6/6/15,8:00 AM,9:15 AM,Boys U15 C>Plymouth Youth Lacrosse,Bridge Road,Game,Boys U15 C>Hanover,5200355
6/6/15,9:00 AM,10:15 AM,Boys U9 B>Salem Snipers,Walmart Field,Game,Boys U9 B>Concord Crush Black,5208241
6/6/15,9:00 AM,10:15 AM,Girls U15 A>Seacoast,Greenland Field,Game,Girls U15 A>Exeter,5182961
6/6/15,9:00 AM,10:15 AM,Boys U13 C>Black Bear,Coe-Brown Lower,Game,Boys U13 C>Amherst U13C - White,5211087
6/6/15,9:00 AM,10:15 AM,Boys U11 C>Hampstead,Depot Road Field,Game,Boys U11 C>MPAL U11 Blue,5200931
6/6/15,9:15 AM,10:30 AM,Boys U9 B>Keene Crush,Keene HS,Game,Boys U9 B>MPAL U9,5208242
6/6/15,9:15 AM,10:30 AM,Boys U11 B2>Merrimack Valley Blue Storm,Boscawen Elementary ,Game,Boys U11 B2>MPAL U11 White,5200989
6/6/15,9:15 AM,10:30 AM,Boys U11 C>Rattlers U11 White,East Road Fields,Game,Boys U11 C>Exeter - Grey,5200932
6/6/15,9:15 AM,10:30 AM,Boys U9 B>Abenaki-Wolfeboro,The Nick,Game,Boys U9 B>Black Bear,5208237
6/6/15,9:15 AM,10:30 AM,Boys U11 B2>MYL Boys U11B Junior Tomahawks,Reeds 4,Game,Boys U11 B2>Londonderry Boys U11 Huskies,5200991
6/6/15,10:00 AM,11:15 AM,Boys U13 B1>Amherst U13B - Black,Souhegan HS,Game,Boys U13 B1>Cocheco,5200205
6/6/15,10:00 AM,11:15 AM,Boys U13 B1>Londonderry Boys U13 Hawks,West Road Field #1,Game,Boys U13 B1>JSG U13B,5200206
6/6/15,10:00 AM,10:55 AM,Boys U9 B>Hudson Hawks White,Presentation of Mary,Game,Boys U9 B>MPAL U9 White,5208229
6/6/15,10:00 AM,11:15 AM,Boys U13 B1>Nashua - Purple,Pennichuck MS,Game,Boys U13 B1>Hopkinton U13 Boys,5200208
6/6/15,10:00 AM,11:15 AM,Boys U13 B1>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Boys U13 B1>Keene Crush Orange,5200204
6/6/15,10:15 AM,11:30 AM,Boys U11 C>Black Bear,Coe-Brown Lower,Game,Boys U11 C>Concord Crush White,5200928
6/6/15,10:15 AM,11:30 AM,Boys U13 B1>Seacoast,Greenland Field,Game,Boys U13 B1>Exeter,5200207
6/6/15,10:30 AM,11:45 AM,Boys U11 B2>Rattlers U11 Maroon,East Road Fields,Game,Boys U11 B2>Goffstown Maroon,5200994
6/6/15,10:30 AM,11:45 AM,Boys U9 B>MYL Boys U9B Junior Tomahawks 1,Reeds 4,Game,Boys U9 B>Hudson Hawks Maroon,5208231
6/6/15,10:30 AM,11:45 AM,Boys U9 B>Nashua - White,Fairgrounds JrH,Game,Boys U9 B>Hooksett,5208235
6/6/15,10:30 AM,11:45 AM,Boys U13 C>Merrimack Valley Blue Storm,Boscawen Elementary ,Game,Boys U13 C>Goffstown,5211088
6/6/15,10:45 AM,12:00 PM,Boys U13 C>Salem,Salem HS,Game,Boys U13 C>Cocheco,5211089
6/6/15,11:00 AM,12:15 PM,Boys U11 C>Hudson Hawks White,Presentation of Mary,Game,Boys U11 C>Hudson Hawks Maroon,5200927
6/6/15,11:15 AM,12:30 PM,Boys U15 C>Londonderry Boys U15 Wolves,West Road Field #1,Game,Boys U15 C>Litchfield U15,5200357
6/6/15,11:15 AM,12:30 PM,Boys U11 B2>Amherst U11B - Black,Souhegan HS,Game,Boys U11 B2>Concord Crush Black,5200990
6/6/15,11:30 AM,12:45 PM,Boys U13 C>Nashua - Black,Pennichuck MS,Game,Boys U13 C>Exeter,5211090
6/6/15,11:30 AM,12:45 PM,Boys U11 B2>Seacoast,Greenland Field,Game,Boys U11 B2>Goffstown Hansen,5200992
6/6/15,11:45 AM,1:00 PM,Boys U9 B>MYL Boys U9B Junior Tomahawks 2,Reeds 4,Game,Boys U9 B>Hopkinton U9 boys,5208233
6/6/15,11:45 AM,1:00 PM,Boys U9 B>Rattlers U9 White,East Road Fields,Game,Boys U9 B>Derry U9B - Red,5208228
