Chester County Lacrosse Association,,,,,,,,,,
Spring 2012 Master Schedule (released 3/13/12 10:00am),,,,,,,,,,
THIS IS THE FINAL SCHEDULE: REMIND COACHES OF THEIR LEAGUE OBLIGATION TO PLAY EVERY GAME AS SCHEDULED,,,,,,,,,,
"Field directions, rules, referee assignments, and the most current league information can be found at www.cclalax.org",,,,,,,,,,
,,,,,,,,,,
ABG = Abington,,,CVL = Collegeville,,PHX = Phoenixville,,,,,
ASH = Ashbee,,,GV = Great Valley,,ST = Conestoga,,,,,
AVG = Avon Grove,,,KEN = Kennett,,UNV = Unionville,,,,,
BYC = Brandywine,,,LV = Lionville,,WB = West Bradford/Downingtown MS,,,,,
COV = Coventry,,,,,WC = West Chester,,,,,
,,,,click arrow to,,,,click arrow to,,
,,,,filter for level,,,,filter for team,,
Game #,Date,Day,Time,Level,Visitor,Home,Field,Team,,
65,4/19/12,Thu,6:30 PM,U15A,WC,AVG,AVG Harmony Park,WCAVG,,
18,4/19/12,Thu,6:30 PM,U15A,COV,BYC,BYC Garnet Valley MS,COVBYC,,
273,4/19/12,Thu,6:30 PM,U15B,UNV,COV,COV Batdorf Park,UNVCOV,,
303,4/19/12,Thu,6:30 PM,U15B,BYC,LV1,LV Pine Creek,BYCLV1,,
295,4/19/12,Thu,6:30 PM,U15B,AVG,ST,ST Wilson Park CYL,AVGST,,
47,4/19/12,Thu,6:30 PM,U15A,GV,WB,WB Downingtown MS,GVWB,,
315,4/19/12,Thu,6:30 PM,U15B,WB,WC1,WC Kelly Field,WBWC1,,
500,4/20/12,Fri,6:30 PM,U11B,ST,ASH,ASH Lower Merion HS,STASH,,
158,4/20/12,Fri,6:30 PM,U11A,CVL,AVG,AVG Harmony Park,CVLAVG,,
193,4/20/12,Fri,6:30 PM,U11A,ASH,BYC,BYC Bethel Spr ES 12,ASHBYC,,
457,4/20/12,Fri,6:30 PM,U11B,COV1,CVL1,CVL Warrior Field,COV1CVL1,,
497,4/20/12,Fri,6:30 PM,U11B,PHX,LV2,LV Eagleview 1,PHXLV2,,
511,4/20/12,Fri,6:30 PM,U11B,LV3,LV1,LV Eagleview 2,LV3LV1,,
526,4/20/12,Fri,6:30 PM,U11B,UNV1,WB,WB Embreeville,UNV1WB,,
444,4/21/12,Sat,12:00 PM,U13B,WC1,ABG,ABG Huntingdon Upper,WC1ABG,,
68,4/21/12,Sat,2:00 PM,U13A,CVL,ABG,ABG Huntingdon Upper,CVLABG,,
24,4/21/12,Sat,4:00 PM,U15A,WC,ABG,ABG Huntingdon Upper,WCABG,,
362,4/21/12,Sat,12:00 PM,U13B,ST2,ASH,ASH Lower Merion HS,ST2ASH,,
479,4/21/12,Sat,2:00 PM,U11B,CVL3,ASH,ASH Lower Merion HS,CVL3ASH,,
108,4/21/12,Sat,4:00 PM,U13A,GV,ASH,ASH Lower Merion HS,GVASH,,
571,4/21/12,Sat,10:00 AM,U11B,KEN1,AVG2,AVG Avon Grove HS,KEN1AVG2,,
185,4/21/12,Sat,12:00 PM,U11A,WB,AVG,AVG Avon Grove HS,WBAVG,,
232,4/21/12,Sat,2:00 PM,U13C,UNV,AVG,AVG Avon Grove HS,UNVAVG,,
539,4/21/12,Sat,10:00 AM,U11B,UNV1,BYC3,BYC Bethel Spr ES 12,UNV1BYC3,,
182,4/21/12,Sat,12:00 PM,U11A,WC,BYC,BYC Bethel Spr ES 12,WCBYC,,
406,4/21/12,Sat,10:00 AM,U13B,AVG1,BYC1,BYC Garnet Valley MS,AVG1BYC1,,
410,4/21/12,Sat,12:00 PM,U13B,AVG2,BYC2,BYC Garnet Valley MS,AVG2BYC2,,
333,4/21/12,Sat,2:00 PM,U15B,KEN,BYC,BYC Garnet Valley MS,KENBYC,,
88,4/21/12,Sat,4:00 PM,U13A,COV,BYC,BYC Garnet Valley MS,COVBYC,,
3,4/21/12,Sat,4:00 PM,U15A,ASH,CVL,CVL Mt Kirk,ASHCVL,,
188,4/21/12,Sat,12:00 PM,U11A,ASH,CVL,CVL Warrior Field,ASHCVL,,
463,4/21/12,Sat,2:00 PM,U11B,LV2,CVL1,CVL Warrior Field,LV2CVL1,,
551,4/21/12,Sat,12:00 PM,U11B,BYC1,KEN2,KEN Legacy Field C,BYC1KEN2,,
208,4/21/12,Sat,2:00 PM,U13C,CVL,KEN,KEN Legacy Field C,CVLKEN,,
150,4/21/12,Sat,4:00 PM,U13A,AVG,KEN,KEN Legacy Field C,AVGKEN,,
45,4/21/12,Sat,4:00 PM,U15A,AVG,LV,LV Fellowship Field,AVGLV,,
447,4/21/12,Sat,10:00 AM,U13B,WC4,LV,LV Hoeffecker,WC4LV,,
210,4/21/12,Sat,12:00 PM,U13C,ABG,LV,LV Hoeffecker,ABGLV,,
307,4/21/12,Sat,2:00 PM,U15B,LV2,LV1,LV Hoeffecker,LV2LV1,,
352,4/21/12,Sat,12:00 PM,U13B,ST1,PHX,PHX PMYC,ST1PHX,,
252,4/21/12,Sat,2:00 PM,U15B,CVL,PHX,PHX PMYC,CVLPHX,,
160,4/21/12,Sat,10:00 AM,U11A,ABG,ST,ST TE Middle Sch 1,ABGST,,
495,4/21/12,Sat,12:00 PM,U11B,PHX,ST,ST TE Middle Sch 1,PHXST,,
58,4/21/12,Sat,10:00 AM,U15A,COV,ST,ST Wilson Park CYL,COVST,,
299,4/21/12,Sat,2:00 PM,U15B,WC1,ST,ST Wilson Park CYL,WC1ST,,
115,4/21/12,Sat,12:00 PM,U13A,LV2,ST1,ST Wilson Park TEYSA,LV2ST1,,
330,4/21/12,Sat,12:00 PM,U15B,AVG,UNV,UNV Patton MS 17,AVGUNV,,
385,4/21/12,Sat,2:00 PM,U13B,WC2,UNV,UNV Upland Country DS,WC2UNV,,
118,4/21/12,Sat,4:00 PM,U13A,ST2,UNV,UNV Upland Country DS,ST2UNV,,
53,4/21/12,Sat,4:00 PM,U15A,BYC,WB,WB Downingtown MS,BYCWB,,
397,4/21/12,Sat,10:00 AM,U13B,KEN,WB,WB Embreeville,KENWB,,
270,4/21/12,Sat,12:00 PM,U15B,COV,WB,WB Embreeville,COVWB,,
576,4/21/12,Sat,2:00 PM,U11B,CVL2,WB,WB Embreeville,CVL2WB,,
426,4/21/12,Sat,10:00 AM,U13B,CVL,WC3,WC Kelly Field,CVLWC3,,
517,4/21/12,Sat,12:00 PM,U11B,UNV2,WC,WC Kelly Field,UNV2WC,,
217,4/21/12,Sat,2:00 PM,U13C,ASH,WC,WC Kelly Field,ASHWC,,
125,4/21/12,Sat,4:00 PM,U13A,LV1,WC,WC Kelly Field,LV1WC,,
241,4/22/12,Sun,12:00 PM,U13C,UNV,ABG,ABG Huntingdon Upper,UNVABG,,
191,4/22/12,Sun,2:00 PM,U11A,WC,ABG,ABG Huntingdon Upper,WCABG,,
102,4/22/12,Sun,12:00 PM,U13A,KEN,ASH,ASH Lower Merion HS,KENASH,,
32,4/22/12,Sun,2:00 PM,U15A,WB,ASH,ASH Lower Merion HS,WBASH,,
337,4/22/12,Sun,2:00 PM,U13B,ABG,CVL,CVL Warrior Field,ABGCVL,,
23,4/22/12,Sun,1:30 PM,U15A,ABG,GV,GV Great Valley MS,ABGGV,,
97,4/22/12,Sun,3:30 PM,U13A,ABG,GV,GV Great Valley MS,ABGGV,,
40,4/22/12,Sun,12:00 PM,U15A,AVG,ST,ST Wilson Park CYL,AVGST,,
86,4/22/12,Sun,2:00 PM,U13A,COV,WC,WC Kelly Field,COVWC,,
237,4/23/12,Mon,6:30 PM,U13C,CVL,ABG,ABG Huntingdon Upper,CVLABG,,
242,4/23/12,Mon,6:30 PM,U13C,BYC,ASH,ASH Lower Merion HS,BYCASH,,
225,4/23/12,Mon,6:30 PM,U13C,LV,AVG,AVG Avon Grove HS,LVAVG,,
399,4/23/12,Mon,6:30 PM,U13B,WB,BYC2,BYC Garnet Valley MS,WBBYC2,,
261,4/23/12,Mon,6:30 PM,U15B,BYC,CVL,CVL Mt Kirk,BYCCVL,,
275,4/23/12,Mon,6:30 PM,U15B,PHX,KEN,KEN Legacy Field A,PHXKEN,,
370,4/23/12,Mon,6:30 PM,U13B,GV,LV,LV Lionville MS,GVLV,,
353,4/23/12,Mon,6:30 PM,U13B,PHX,ST2,ST TE Middle Sch 1,PHXST2,,
361,4/23/12,Mon,6:30 PM,U13B,ASH,ST1,ST TE Middle Sch 2,ASHST1,,
233,4/23/12,Mon,6:30 PM,U13C,KEN,UNV,UNV Patton MS 17,KENUNV,,
320,4/23/12,Mon,6:30 PM,U15B,WC2,WB,WB Embreeville,WC2WB,,
453,4/23/12,Mon,6:30 PM,U13B,AVG2,WC1,WC Kelly Field,AVG2WC1,,
120,4/24/12,Tue,6:30 PM,U13A,ST2,AVG,AVG Harmony Park,ST2AVG,,
127,4/24/12,Tue,6:30 PM,U13A,LV1,BYC,BYC Garnet Valley MS,LV1BYC,,
454,4/24/12,Tue,6:30 PM,U13B,WC4,KEN,KEN Legacy Field A,WC4KEN,,
224,4/24/12,Tue,6:30 PM,U13C,BYC,LV,LV Pine Creek,BYCLV,,
366,4/24/12,Tue,6:30 PM,U13B,LV,ST1,ST TE Middle Sch 2,LVST1,,
70,4/24/12,Tue,6:30 PM,U13A,CVL,ST1,ST Wilson Park CYL,CVLST1,,
132,4/24/12,Tue,6:30 PM,U13A,LV2,UNV,UNV Patton MS 17,LV2UNV,,
402,4/24/12,Tue,6:30 PM,U13B,AVG1,UNV,UNV Upland Country DS,AVG1UNV,,
371,4/24/12,Tue,6:30 PM,U13B,WC2,WC1,WC Kelly Field,WC2WC1,,
136,4/24/12,Tue,8:00 PM,U13A,GV,WC,WC Kelly Field,GVWC,,
584,4/25/12,Wed,6:30 PM,U11B,LV2,AVG3,AVG Avon Grove HS,LV2AVG3,,
562,4/25/12,Wed,6:30 PM,U11B,BYC3,AVG2,AVG Harmony Park,BYC3AVG2,,
175,4/25/12,Wed,6:30 PM,U11A,ST,BYC,BYC Bethel Spr ES 12,STBYC,,
467,4/25/12,Wed,6:30 PM,U11B,CVL2,COV1,COV Batdorf Park,CVL2COV1,,
575,4/25/12,Wed,6:30 PM,U11B,WC,CVL1,CVL Warrior Field,WCCVL1,,
559,4/25/12,Wed,6:30 PM,U11B,BYC2,KEN2,KEN Legacy Field B,BYC2KEN2,,
514,4/25/12,Wed,6:30 PM,U11B,GV,LV3,LV Eagleview 1,GVLV3,,
505,4/25/12,Wed,6:30 PM,U11B,ST,LV1,LV Eagleview 2,STLV1,,
493,4/25/12,Wed,6:30 PM,U11B,COV2,PHX,PHX PMYC,COV2PHX,,
535,4/25/12,Wed,6:30 PM,U11B,KEN1,UNV1,UNV Patton MS 17,KEN1UNV1,,
28,4/26/12,Thu,6:30 PM,U15A,ST,ASH,ASH Haverford Upper,STASH,,
9,4/26/12,Thu,6:30 PM,U15A,BYC,CVL,CVL Mt Kirk,BYCCVL,,
282,4/26/12,Thu,6:30 PM,U15B,WB,PHX,PHX PMYC,WBPHX,,
254,4/26/12,Thu,6:30 PM,U15B,CVL,ST,ST Wilson Park TEYSA,CVLST,,
181,4/26/12,Thu,6:30 PM,U11A,WB,WC,WC Kelly Field,WBWC,,
