Time,Home,Away,Age,Division,Field,Referee,Score
3:00 PM,BYC Explosion,RUSC Raiders,U10B,White,Edgewood,,
3:00 PM,Aston Devils,Interboro Bucs,U10B,White,Mann,,
3:00 PM,Springfield Sparks,RUSC Revenge,U10G,White,Catania Park #1,,
3:00 PM,MNSA Crush,Haverford Wildcats,U10G,White,Catania Park #2,,
3:00 PM,Montgomery Revolution,Springfield Sizzle,U12G,Green,RHS #3,,
3:00 PM,Interboro Thunder,Haverford Lightning,U12G,Green,RHS #4,,
3:00 PM,Aston Fury,RUSC Dynamite,U14/U15G,Green,RHS #5,,
3:00 PM,Harford FC Lazers United,RUSC Strikers,U14B,Green,RMS Lower,,
3:00 PM,RUSC Young Guns,Aston Revolution,U15/U16B,,Amosland,,
3:30 PM,2nd Place Pool A,2nd Place Pool B,U11B,Green,Tinicum #3,,
3:30 PM,2nd Place Pool A,2nd Place Pool B,U12B,,RHS #6,,
3:30 PM,2nd Place Pool A,2nd Place Pool B,U13G,White,RHS #1,,
3:30 PM,2nd Place Pool A,2nd Place Pool B,U13G,Green,RMS Upper,,
3:30 PM,2nd Place Pool A,2nd Place Pool B,U15/U16G,Green,RHS #2,,
4:00 PM,Haverford Red,Haverford Blackout,U09G,Green,Edgewood,,
4:00 PM,BYC Tigers,RUSC Rampage,U09G,Green,Mann,,
4:00 PM,FC York,BYC Strikers,U10B,Green,Catania Park #1,,
4:00 PM,Towamencin Titans,BYC Blue Sharks,U10B,Green,Catania Park #2,,
4:00 PM,Amity AC Storm,RUSC Rumble,U11G,Green,Tinicum #1,,
4:00 PM,Haverford Revolution,Springfield Sharks,U11G,Green,Tinicum #2,,
4:00 PM,Blue White '10 SC Panthers,Lower Merion Fear,U12G,White,RHS #3,,
4:00 PM,Haverford Red Flash,RUSC Revolution,U12G,White,RHS #4,,
4:00 PM,BYC Spartaks,FC York 99 Elite,U14/U15G,Green,RHS #5,,
4:00 PM,BYC Galaxy,West Mont United Union,U14B,Green,RMS Lower,,
4:00 PM,Rose Tree Strikers,Towamencin Thrashers,U15/U16B,,Amosland,,
4:30 PM,1st Place Pool A,1st Place Pool B,U11B,Green,Tinicum #3,,
4:30 PM,1st Place Pool A,1st Place Pool B,U12B,,RHS #6,,
4:30 PM,1st Place Pool A,1st Place Pool B,U13G,White,RHS #1,,
4:30 PM,1st Place Pool A,1st Place Pool B,U13G,Green,RMS Upper,,
4:30 PM,1st Place Pool A,1st Place Pool B,U15/U16G,Green,RHS #2,,
