Division,Team,,Field,Time,Game 1,,Field,Time,Game 2,,Field,Time,Game 3
Girls U13A,BYC,,BPC - Sunday 9,07:00:00,Girls U13A: FILIA 2021 (Home),,BPC - Sunday 11,08:40:00,Girls U13A: SPRINGFIELD GOLD (Home),,BPC - Sunday 9,10:20:00,Girls U13A: HENLOPEN STORM (Away)
Girls U13A,FILIA 2021,,BPC - Sunday 9,07:00:00,Girls U13A: BYC (Away),,BPC - Sunday 10,08:40:00,Girls U13A: HENLOPEN STORM (Away),,BPC - Sunday 10,10:20:00,Girls U13A: QUIX STIX 7TH GRADE A (Away)
Girls U13A,HENLOPEN STORM,,BPC - Sunday 11,07:00:00,Girls U13A: QUIX STIX 5/6 GRADE A (Home),,BPC - Sunday 10,08:40:00,Girls U13A: FILIA 2021 (Home),,BPC - Sunday 9,10:20:00,Girls U13A: BYC (Home)
Girls U13A,QUIX STIX 5/6 GRADE A,,BPC - Sunday 11,07:00:00,Girls U13A: HENLOPEN STORM (Away),,BPC - Sunday 9,08:40:00,Girls U13A: QUIX STIX 7TH GRADE A (Away),,BPC - Sunday 11,10:20:00,Girls U13A: SPRINGFIELD GOLD (Home)
Girls U13A,QUIX STIX 7TH GRADE A,,BPC - Sunday 10,07:00:00,Girls U13A: SPRINGFIELD GOLD (Away),,BPC - Sunday 9,08:40:00,Girls U13A: QUIX STIX 5/6 GRADE A (Home),,BPC - Sunday 10,10:20:00,Girls U13A: FILIA 2021 (Home)
Girls U13A,SPRINGFIELD GOLD,,BPC - Sunday 10,07:00:00,Girls U13A: QUIX STIX 7TH GRADE A (Home),,BPC - Sunday 11,08:40:00,Girls U13A: BYC (Away),,BPC - Sunday 11,10:20:00,Girls U13A: QUIX STIX 5/6 GRADE A (Away)
Girls U13B,BYC,,BPC - Saturday 6,12:50:00,Girls U13B: FILIA 2022 (Away),,BPC - Saturday 5,14:30:00,Girls U13B: Dummy 11 (Home),,BPC - Saturday 7,16:10:00,Girls U13B: HENLOPEN STORM (Home)
Girls U13B,FILIA 2022,,BPC - Saturday 6,12:50:00,Girls U13B: BYC (Home),,BPC - Saturday 6,14:30:00,Girls U13B: HENLOPEN STORM (Home),,BPC - Saturday 6,16:10:00,Girls U13B: SPRINGFIELD BLUE (Away)
Girls U13B,HENLOPEN STORM,,BPC - Saturday 5,12:50:00,Girls U13B: RTO B (Home),,BPC - Saturday 6,14:30:00,Girls U13B: FILIA 2022 (Away),,BPC - Saturday 7,16:10:00,Girls U13B: BYC (Away)
Girls U13B,RTO B,,BPC - Saturday 5,12:50:00,Girls U13B: HENLOPEN STORM (Away),,BPC - Saturday 7,14:30:00,Girls U13B: SPRINGFIELD BLUE (Home),,BPC - Saturday 5,16:10:00,Girls U13B: Dummy 11 (Away)
Girls U13B,SPRINGFIELD BLUE,,BPC - Saturday 7,12:50:00,Girls U13B: Dummy 11 (Away),,BPC - Saturday 7,14:30:00,Girls U13B: RTO B (Away),,BPC - Saturday 6,16:10:00,Girls U13B: FILIA 2022 (Home)
Girls U13B,Dummy 11,,BPC - Saturday 7,12:50:00,Girls U13B: SPRINGFIELD BLUE (Home),,BPC - Saturday 5,14:30:00,Girls U13B: BYC (Away),,BPC - Saturday 5,16:10:00,Girls U13B: RTO B (Home)
Girls U15A,THUNDER,,BPC - Saturday 1,07:50:00,Girls U15A: OPTIMIST LAXERS (Home),,BPC - Saturday 1,09:30:00,Girls U15A: QUIX STIX 8TH GRADE A (Away),,BPC - Saturday 1,11:10:00,Girls U15A: SPRINGFIELD GOLD (Home)
Girls U15A,OPTIMIST LAXERS,,BPC - Saturday 1,07:50:00,Girls U15A: THUNDER (Away),,BPC - Saturday 2,09:30:00,Girls U15A: SPRINGFIELD GOLD (Home),,BPC - Saturday 2,11:10:00,Girls U15A: QUIX STIX 8TH GRADE A (Home)
Girls U15A,QUIX STIX 8TH GRADE A,,BPC - Saturday 2,07:50:00,Girls U15A: SPRINGFIELD GOLD (Home),,BPC - Saturday 1,09:30:00,Girls U15A: THUNDER (Home),,BPC - Saturday 2,11:10:00,Girls U15A: OPTIMIST LAXERS (Away)
Girls U15A,SPRINGFIELD GOLD,,BPC - Saturday 2,07:50:00,Girls U15A: QUIX STIX 8TH GRADE A (Away),,BPC - Saturday 2,09:30:00,Girls U15A: OPTIMIST LAXERS (Away),,BPC - Saturday 1,11:10:00,Girls U15A: THUNDER (Away)
Girls U15B,BYC -  7TH GRADE,,BPC - Saturday 6,07:00:00,Girls U15B: STORM (Away),,BPC - Saturday 7,08:40:00,Girls U15B: Dummy 12 (Home),,BPC - Saturday 6,10:20:00,Girls U15B: LOWER MAC MUSTANGS (Home)
Girls U15B,STORM,,BPC - Saturday 6,07:00:00,Girls U15B: BYC -  7TH GRADE (Home),,BPC - Saturday 8,08:40:00,Girls U15B: LOWER MAC MUSTANGS (Home),,BPC - Saturday 8,10:20:00,Girls U15B: SPRINGFIELD 2020 (Home)
Girls U15B,LOWER MAC MUSTANGS,,BPC - Saturday 8,07:00:00,Girls U15B: ROSE TREE RED (Home),,BPC - Saturday 8,08:40:00,Girls U15B: STORM (Away),,BPC - Saturday 6,10:20:00,Girls U15B: BYC -  7TH GRADE (Away)
Girls U15B,ROSE TREE RED,,BPC - Saturday 8,07:00:00,Girls U15B: LOWER MAC MUSTANGS (Away),,BPC - Saturday 6,08:40:00,Girls U15B: SPRINGFIELD 2020 (Home),,BPC - Saturday 7,10:20:00,Girls U15B: Dummy 12 (Away)
Girls U15B,SPRINGFIELD 2020,,BPC - Saturday 7,07:00:00,Girls U15B: Dummy 12 (Away),,BPC - Saturday 6,08:40:00,Girls U15B: ROSE TREE RED (Away),,BPC - Saturday 8,10:20:00,Girls U15B: STORM (Away)
Girls U15B,Dummy 12,,BPC - Saturday 7,07:00:00,Girls U15B: SPRINGFIELD 2020 (Home),,BPC - Saturday 7,08:40:00,Girls U15B: BYC -  7TH GRADE (Away),,BPC - Saturday 7,10:20:00,Girls U15B: ROSE TREE RED (Home)
