Game,Date,Time,Field,Bracket,Round,Team,Game Score,Sportsmanship Rating,Sportsmanship Notes,Ref Rating,Ref Rating Notes,EH ID
57,07/20/2013,10:30 AM,3,U15B-2 & 3,2,PITLAX U15 (PA),2,5,,,,35181
57,07/20/2013,10:30 AM,3,U15B-2 & 3,2,GARDEN CITY '17 (NY),8,5,,,,35182
58,07/20/2013,10:30 AM,4,U11B-2,2,MUCKDAWGS (PA),1,5,,,,35183
58,07/20/2013,10:30 AM,4,U11B-2,2,RISING SONS 2021 (PA),12,5,,,,35184
59,07/20/2013,10:30 AM,5,U11B-2,2,TEAM 91 2021 ORANGE (NY),12,5,,,,35185
59,07/20/2013,10:30 AM,5,U11B-2,2,BLACK BEAR (PA),1,5,,,,35186
60,07/20/2013,10:30 AM,6,U11B-2,2,BAGGATAWAY LC U11 (PA),5,5,,,,35187
60,07/20/2013,10:30 AM,6,U11B-2,2,LEADING EDGE 2021 (NJ),2,5,,,,35188
61,07/20/2013,10:30 AM,7,U11B-2,2,NOVA WEST LACROSSE (VA),0,5,,,,35189
61,07/20/2013,10:30 AM,7,U11B-2,2,ROCK'EM LACROSSE (PA),8,5,,,,35190
62,07/20/2013,10:30 AM,8,U11B-2,2,TRI-STATE U11 GOLD (NJ),5,5,,,,35191
62,07/20/2013,10:30 AM,8,U11B-2,2,TWIST (PA),8,3,,,,35192
63,07/20/2013,10:30 AM,9,U15B-1,2,BERKS RAPTORS (PA),8,4,,,,35193
63,07/20/2013,10:30 AM,9,U15B-1,2,BROTHERHOOD U14 (NJ),2,4,,,,35194
64,07/20/2013,10:30 AM,10,U15B-1,2,GRIP-IT N' RIP-IT YELLOW (NY),7,5,,,,35195
64,07/20/2013,10:30 AM,10,U15B-1,2,CASH COWS U15 (MI),5,5,,,,35196
65,07/20/2013,10:30 AM,11,U15B-1,2,TRI-STATE U15 WHITE (NJ),6,5,,,,35197
65,07/20/2013,10:30 AM,11,U15B-1,2,BUCKS 2017-BREITHAUPT (PA),2,4,,,,35198
66,07/20/2013,10:30 AM,12,U15B-1,2,380 LACROSSE U-15 GREEN (PA),4,1,,,,35199
66,07/20/2013,10:30 AM,12,U15B-1,2,DIP N DUNK (NY),3,1,,,,35200
67,07/20/2013,10:30 AM,13,JVB-1,2,BUCKS 2016 - KREUTZER (PA),3,4,,,,35201
67,07/20/2013,10:30 AM,13,JVB-1,2,EDGE 2016 WHITE (ON),4,2,,,,35202
68,07/20/2013,10:30 AM,14,JVB-1,2,GREEN & GOLD JV (NJ),6,5,,,,35203
68,07/20/2013,10:30 AM,14,JVB-1,2,TEWAARATON LENAPE (NJ),10,5,,,,35204
69,07/20/2013,10:30 AM,15,JVB-1,2,BLACK JACKS (MA),1,3,,,,35205
69,07/20/2013,10:30 AM,15,JVB-1,2,BROTHERHOOD U16 (NJ),5,5,,,,35206
70,07/20/2013,10:30 AM,16,JVB-1,2,TEAM 91 2016 STAMPEDE (NY),6,5,,,,35207
70,07/20/2013,10:30 AM,16,JVB-1,2,EMMAUS STING (PA),5,5,,,,35208
71,07/20/2013,10:30 AM,17,JVB-1,2,GRIP-IT N' RIP-IT BLUE (NY),7,5,,,,35209
71,07/20/2013,10:30 AM,17,JVB-1,2,LV LIGHTNING SELECT BLUE (PA),4,5,,,,35210
72,07/20/2013,10:30 AM,18,U9,2,COLLEGEVILLE CHOSEN (PA),10,5,,,,35211
72,07/20/2013,10:30 AM,18,U9,2,MUCKDAWGS (PA),0,5,,,,35212
73,07/20/2013,10:30 AM,19,U9,2,TEAM 91 2022 ORANGE (NY),12,5,,,,35213
73,07/20/2013,10:30 AM,19,U9,2,ROCK'EM LACROSSE (PA),3,5,,,,35214
74,07/20/2013,10:30 AM,20,U9,2,CAROLINA CANNONS (NC),17,5,,,,35215
74,07/20/2013,10:30 AM,20,U9,2,PEG LEG LACROSSE (PA),2,5,,,,35216
75,07/20/2013,10:30 AM,21,U9,2,BAGGATAWAY LC U9 (PA),7,5,,,,35217
75,07/20/2013,10:30 AM,21,U9,2,TOP SIDE SNIPERS (NY),8,5,,,,35218
76,07/20/2013,10:30 AM,22,VARB-1,2,BLACK DOG LEGACY (PA),9,1,,,,35219
76,07/20/2013,10:30 AM,22,VARB-1,2,BUCKS 2014 - RENAHAN (PA),10,4,,,,35220
